Designator,Footprint,Quantity,Value,LCSC Part #
C1,0402,1,4u7,C23733
C2,0402,1,1u,C52923
D1,0603,1,ORH-G36G,C7371905
D2,0603,1,ORH-R36G,C2286
D3,0603,1,ORH-W46G,C2290
D4,0603,1,ORH-B36G,C193191
D5,SOT-323_SC-70,1,BAT54CW,C22392482
FB1,0402,1,330R @ 100MHz,C160975
J1,Molex_SlimStack_502426-2010_2x10_P0.40mm_Vertical,1,502426-2030,C563934
J2,USB_C_Receptacle_Molex_2171790001,1,2171790001,C29780877
J3,TE_0-1734839-5_1x05-1MP_P0.5mm_Horizontal,1,51281-0598,C18548053
Q1,SOT-723,1,BC846BM3T5G,C232536
"R1, R17, R18, R19, R2, R3, R4",0402,7,CG0402MLC-05LG,C711709
R10,0402,1,510R,C25123
"R11, R14, R15, R16",0402,4,1k,C11702
"R12, R13",0402,2,5k1,C25905
"R20, R6",0402,2,10k,C25744
R22,0402,1,220k,C25767
R7,0402,1,7k5,C137934
R8,0402,1,3k9,C131467
R9,0402,1,1k2,C25862
U1,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,1,TPS25200,C128401
