Designator,Mid X,Mid Y,Rotation,Layer
C1,74.99209,-64.07883,125.0,top
C2,65.677773,-68.614485,35.0,top
D1,80.727773,-62.454484,270.0,bottom
D2,82.027773,-62.454485,90.0,bottom
D3,84.327773,-62.454484,270.0,bottom
D4,85.527774,-62.454484,90.0,bottom
D5,78.197774,-60.954483,180.0,bottom
FB1,66.890284,-70.430887,35.0,top
J1,71.317771,-66.354481,215.0,top
J2,69.049265,-63.110113,145.0,bottom
J3,81.477772,-62.114481,90.0,top
Q1,78.727772,-64.804482,270.0,bottom
R1,81.457772,-59.944482,90.0,bottom
R10,84.61777,-64.544485,0.0,bottom
R11,76.987774,-63.084483,90.0,bottom
R12,72.781405,-70.615214,325.0,bottom
R13,75.252787,-68.896939,145.0,bottom
R14,73.28777,-68.514483,125.0,top
R15,74.207772,-67.864485,125.0,top
R16,75.097771,-67.224486,125.0,top
R17,81.187773,-65.664485,270.0,top
R18,77.78,-63.62,90.0,top
R19,77.83,-60.29,0.0,top
R2,82.047772,-65.034486,270.0,bottom
R20,67.957773,-65.494484,305.0,top
R22,71.797771,-62.864485,125.0,top
R3,84.267773,-60.034485,90.0,bottom
R4,86.937771,-63.434481,90.0,bottom
R6,78.697773,-63.234485,180.0,bottom
R7,80.377773,-59.994483,90.0,bottom
R8,80.927772,-65.004485,270.0,bottom
R9,83.117772,-60.034485,270.0,bottom
U1,69.847773,-64.114486,215.0,top
